,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CGY,22,1483,1229,54.7,1.8,1122,1016,52.5,1.1,9.4,91.8,101.,56.8,43.2
2,2008-09,CGY,23,1560,1293,54.7,-3.7,1162,1056,52.4,-4.5,9.9,88.7,98.5,59.0,41.0
3,2009-10,TOT,24,1559,1379,53.1,0.7,1114,1084,50.7,-1.8,8.2,91.9,100.,55.4,44.6
4,2009-10,CGY,24,1008,913,52.5,-0.2,711,725,49.5,-3.1,9.1,91.6,100.,54.6,45.4
5,2009-10,TOR,24,551,466,54.2,2.4,403,359,52.9,0.6,6.7,92.4,99.1,57.1,42.9
6,2010-11,TOR,25,1229,1359,47.5,-3.1,876,990,46.9,-2.6,8.4,92.2,100.,49.7,50.3
7,2011-12,TOR,26,1505,1504,50.0,2.0,1087,1113,49.4,2.3,8.0,90.7,98.7,50.3,49.7
8,2012-13,TOR,27,767,1040,42.4,-3.6,561,749,42.8,-2.8,10.9,91.7,102.,40.7,59.3
9,2013-14,TOR,28,1183,1626,42.1,-2.3,877,1209,42.0,-1.6,10.8,92.8,103.,37.9,62.1
10,2014-15,TOR,29,1090,1333,45.0,-0.8,835,1025,44.9,-0.7,10.2,90.5,100.,42.5,57.5
11,2015-16,TOT,30,1283,1217,51.3,1.7,963,942,50.6,2.0,7.1,92.3,99.4,53.1,46.9
12,2015-16,TOR,30,931,855,52.1,2.5,702,664,51.4,3.0,6.4,92.8,99.2,53.2,46.8
13,2015-16,OTT,30,352,362,49.3,-0.5,261,278,48.4,-0.6,9.1,91.2,100.,52.9,47.1
14,2016-17,OTT,31,378,427,47.0,-1.5,284,308,48.0,-1.4,5.6,91.9,97.6,48.2,51.8
