,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,NYR,25,60,64,48.4,0.3,45,47,48.9,2.6,5.6,91.2,96.7,52.0,48.0
2,2009-10,NYR,26,36,24,60.0,12.5,26,21,55.3,8.1,0.0,100.,100.,47.4,52.6
3,2010-11,PIT,27,12,14,46.2,</td,10,12,45.5,</td,0.0,100.,100.,75.0,25.0
4,2011-12,EDM,28,899,955,48.5,2.1,656,720,47.7,0.2,7.4,90.2,97.6,54.0,46.0
5,2012-13,EDM,29,389,469,45.3,-0.5,279,345,44.7,-1.2,9.0,95.4,104.,46.4,53.6
6,2013-14,TOT,30,166,224,42.6,-7.8,122,156,43.9,-6.7,11.1,89.3,100.,46.1,53.9
7,2013-14,EDM,30,131,192,40.6,-9.8,102,134,43.2,-7.4,13.3,89.6,102.,42.6,57.4
8,2013-14,BOS,30,35,32,52.2,</td,20,22,47.6,</td,0.0,87.5,87.5,65.0,35.0
9,2014-15,CGY,31,50,47,51.5,10.6,38,28,57.6,14.5,4.0,87.5,91.5,71.4,28.6
10,2015-16,NSH,32,18,11,62.1,21.6,12,9,57.1,9.1,0.0,100.,100.,66.7,33.3
