,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,COL,22,181,206,46.8,-7.0,146,154,48.7,-5.7,8.6,88.7,97.3,39.5,60.5
2,2008-09,LAK,23,258,289,47.2,-8.4,190,213,47.1,-8.8,5.3,91.3,96.7,45.6,54.4
3,2009-10,LAK,24,808,770,51.2,-0.5,622,590,51.3,-0.8,8.6,90.8,99.4,48.1,51.9
4,2010-11,LAK,25,702,623,53.0,-0.7,508,476,51.6,-1.3,7.0,88.8,95.8,53.1,46.9
5,2011-12,LAK,26,770,541,58.7,5.6,544,413,56.8,5.3,4.2,91.7,95.9,52.1,47.9
6,2012-13,LAK,27,162,126,56.3,0.8,117,98,54.4,-1.4,7.6,94.4,102.,59.5,40.5
7,2013-14,VAN,28,816,901,47.5,-5.9,579,632,47.8,-5.4,8.9,91.7,100.,32.5,67.5
8,2014-15,VAN,29,501,553,47.5,-2.2,377,402,48.4,-2.8,8.9,91.2,100.,47.1,52.9
9,2015-16,ARI,30,984,1149,46.1,-1.3,704,872,44.7,-2.3,9.7,93.9,103.,46.6,53.4
10,2016-17,ARI,31,177,223,44.3,-2.4,124,169,42.3,-3.8,8.0,91.3,99.4,30.7,69.3
