,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NSH,22,783,707,52.6,1.5,615,561,52.3,2.2,7.8,91.4,99.2,47.9,52.1
2,2008-09,NSH,23,1359,1213,52.8,5.4,1056,946,52.7,5.0,8.6,91.0,99.6,49.4,50.6
3,2009-10,NSH,24,1396,1223,53.3,2.2,1065,950,52.9,1.7,8.2,91.3,99.5,45.1,54.9
4,2010-11,NSH,25,1424,1368,51.0,2.5,1072,1080,49.8,1.6,8.6,92.1,100.,45.9,54.1
5,2011-12,NSH,26,1390,1418,49.5,3.5,1054,1060,49.9,2.8,9.2,93.2,102.,45.2,54.8
6,2012-13,NSH,27,792,904,46.7,-1.4,608,654,48.2,0.1,8.2,92.1,100.,42.7,57.3
7,2013-14,NSH,28,1495,1628,47.9,-1.1,1172,1168,50.1,1.9,8.9,91.0,99.9,44.0,56.0
8,2014-15,NSH,29,1616,1605,50.2,-4.5,1205,1158,51.0,-3.6,7.9,93.1,101.,46.8,53.2
9,2015-16,NSH,30,1527,1431,51.6,-2.2,1153,997,53.6,-0.6,7.7,90.2,97.9,50.8,49.2
10,2016-17,MTL,31,411,429,48.9,-0.9,299,306,49.4,0.1,9.1,98.1,107.,44.1,55.9
