,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,CHI,20,25,24,-6,3,0,0,1,2,0,0,6.7,,6.7,,17:19,,,,
2,2006-07,CHI,21,9,10,-2,1,0,0,0,0,2,0,5.6,,5.6,,17:18,,,,
3,2007-08,CHI,22,67,59,-7,12,7,0,4,7,10,0,11.7,279,11.7,279,17:02,137,30,30,28
4,2008-09,CHI,23,77,81,7,12,3,0,4,12,4,0,7.4,320,7.4,320,14:52,169,23,26,18
5,2009-10,CHI,24,82,94,-7,11,6,0,3,12,5,0,8.1,350,8.1,350,16:25,215,38,48,27
6,2010-11,ATL,25,81,93,-2,12,8,0,6,17,16,0,5.8,615,5.8,615,23:18,138,71,84,58
7,2011-12,WPG,26,66,72,-8,8,4,0,3,25,15,1,5.4,478,5.4,478,24:07,112,57,49,55
8,2012-13,WPG,27,43,34,-1,4,4,0,2,14,6,0,5.6,275,5.6,275,24:24,80,47,26,50
9,2013-14,WPG,28,78,86,-20,12,8,0,1,18,18,0,7.8,489,7.8,489,23:05,213,80,68,72
10,2014-15,WPG,29,69,124,5,13,5,0,3,14,12,1,8.6,425,8.6,425,22:41,204,60,47,57
11,2015-16,WPG,30,81,119,4,15,3,1,6,19,14,1,7.7,482,7.7,482,25:12,222,105,73,92
12,2016-17,WPG,31,25,27,-2,2,0,0,0,9,2,0,3.1,150,3.1,150,27:49,64,44,20,33
