,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,SJS,21,12,14,-2,1,2,0,1,1,2,0,27.3,,27.3,,16:07,,,,
2,2006-07,SJS,22,77,30,9,3,8,0,1,13,18,0,9.9,,9.9,,18:08,,,,
3,2007-08,SJS,23,62,26,-8,0,2,0,1,7,6,0,3.2,120,3.2,120,16:33,29,62,17,43
4,2008-09,TOT,24,76,22,3,5,0,0,2,13,8,0,5.9,178,5.9,178,21:24,38,142,47,56
5,2008-09,TBL,24,12,6,1,1,0,0,0,1,0,0,7.7,24,7.7,24,21:58,4,27,4,8
6,2008-09,PHI,24,64,16,2,4,0,0,2,12,8,0,5.6,154,5.6,154,21:17,34,115,43,48
7,2009-10,PHI,25,80,16,19,4,2,0,1,17,12,0,4.4,277,4.4,277,23:23,35,137,34,64
8,2010-11,PHI,26,82,23,30,1,0,0,0,37,2,0,0.9,262,0.9,262,21:59,51,157,33,59
9,2011-12,PHI,27,82,36,4,1,3,0,0,25,9,0,3.0,292,3.0,292,23:01,55,164,18,55
10,2012-13,TBL,28,48,4,1,3,2,0,0,14,3,0,7.6,133,7.6,133,23:45,32,87,22,34
11,2013-14,TBL,29,82,28,11,1,1,0,0,23,6,0,1.7,218,1.7,218,22:11,46,161,21,43
12,2014-15,TBL,30,59,26,12,3,1,0,0,14,0,0,5.5,148,5.5,148,20:29,27,109,13,41
13,2015-16,TBL,31,64,26,4,2,0,0,1,7,0,0,3.7,112,3.7,112,16:47,30,91,9,28
14,2016-17,NSH,32,6,0,-1,0,0,0,0,1,0,0,0.0,4,0.0,4,13:09,3,5,0,4
