,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,OTT,21,58,22,7,14,5,1,4,8,1,0,20.0,,20.0,,12:29,,,,
2,2006-07,OTT,22,73,36,1,10,3,1,1,15,3,0,10.8,,10.8,,12:13,,,,
3,2007-08,TOT,23,37,10,-2,3,2,0,1,8,2,0,6.2,137,6.2,137,12:46,42,12,18,11
4,2007-08,OTT,23,26,6,0,3,1,0,1,4,2,0,6.8,103,6.8,103,12:44,28,5,10,10
5,2007-08,CAR,23,11,4,-2,0,1,0,0,4,0,0,4.5,34,4.5,34,12:51,14,7,8,1
6,2008-09,CAR,24,74,31,7,4,1,1,1,8,0,0,5.2,185,5.2,185,11:15,134,33,27,16
7,2009-10,DET,25,65,26,0,11,0,1,1,10,0,0,10.0,208,10.0,208,13:26,125,43,20,11
8,2010-11,DET,26,63,14,-2,10,2,1,1,7,0,0,12.0,201,12.0,201,12:42,106,27,20,14
9,2011-12,DET,27,10,2,0,0,0,0,0,1,0,0,0.0,34,0.0,34,11:03,21,7,2,1
10,2012-13,DET,28,34,4,-1,2,0,0,1,5,1,0,4.8,75,4.8,75,10:35,40,11,7,4
11,2013-14,TOT,29,30,2,-7,1,1,0,0,1,2,0,3.8,93,3.8,93,11:16,43,5,8,3
12,2013-14,DET,29,25,2,-4,1,1,0,0,1,2,0,3.9,83,3.9,83,11:33,38,4,7,2
13,2013-14,NSH,29,5,0,-3,0,0,0,0,0,0,0,0.0,10,0.0,10,9:46,5,1,1,1
14,2014-15,DAL,30,47,8,12,8,6,0,2,10,3,0,15.4,182,15.4,182,13:43,69,27,18,10
15,2015-16,DAL,31,54,27,-5,6,5,0,2,4,2,0,12.8,160,12.8,160,12:58,70,20,15,11
16,2016-17,DAL,32,23,8,-5,4,5,0,1,4,3,0,15.5,104,15.5,104,16:51,30,13,6,3
