,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,ATL,23,82,42,-5,1,4,0,0,11,22,0,4.8,207,4.8,207,24:28,21,106,30,52
2,2008-09,ATL,24,82,52,14,2,2,1,1,13,12,2,5.8,169,5.8,169,23:32,29,120,24,45
3,2009-10,ATL,25,82,30,-5,4,2,0,0,26,17,1,5.5,239,5.5,239,22:16,20,99,36,30
4,2010-11,ATL,26,72,54,-10,4,6,0,0,18,22,1,8.8,246,8.8,246,23:41,30,137,26,27
5,2011-12,WPG,27,62,38,6,4,2,0,1,18,9,0,6.4,183,6.4,183,23:51,24,84,8,29
6,2012-13,WPG,28,22,8,-8,3,1,0,2,4,6,1,19.0,50,19.0,50,22:31,9,38,2,8
7,2013-14,WPG,29,82,56,-9,6,4,0,3,11,9,0,9.4,225,9.4,225,23:54,37,142,13,39
8,2014-15,WPG,30,60,36,13,3,1,0,0,13,6,0,6.9,133,6.9,133,23:34,28,93,12,37
9,2015-16,WPG,31,72,44,8,2,0,0,0,13,1,0,4.0,120,4.0,120,20:51,25,96,9,40
10,2016-17,WPG,32,22,10,1,0,0,1,0,3,3,0,4.3,57,4.3,57,22:23,7,30,5,12
