,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,DAL,21,59,18,-3,4,2,0,0,10,3,0,7.7,,7.7,,13:11,,,,
2,2007-08,DAL,22,69,28,5,10,4,0,0,15,2,0,11.7,200,11.7,200,14:02,24,14,58,22
3,2008-09,DAL,23,82,14,14,28,7,1,4,22,5,0,20.2,282,20.2,282,19:50,31,51,80,31
4,2009-10,DAL,24,82,26,-4,21,6,2,4,35,6,1,13.6,352,13.6,352,19:46,31,48,46,33
5,2010-11,DAL,25,79,8,10,16,10,1,6,29,15,2,15.1,285,15.1,285,20:34,26,46,72,34
6,2011-12,DAL,26,82,12,18,19,5,2,3,37,7,1,13.9,301,13.9,301,19:46,20,40,50,43
7,2012-13,DAL,27,48,8,-9,9,2,1,3,9,8,0,11.5,189,11.5,189,20:07,6,18,29,21
8,2013-14,BOS,28,61,6,14,8,2,0,2,17,9,1,8.7,178,8.7,178,16:32,12,13,31,17
9,2014-15,BOS,29,81,14,1,16,6,0,4,19,5,1,13.0,265,13.0,265,18:29,29,23,45,24
10,2015-16,BOS,30,82,12,13,18,10,2,5,25,7,1,16.3,268,16.3,268,19:29,22,34,48,27
11,2016-17,VAN,31,23,0,-10,4,2,0,1,2,1,1,13.6,76,13.6,76,18:40,2,11,7,8
