,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,NSH,21,2,0,-1,0,0,0,0,0,0,0,</td,,</td,,13:40,,,,
2,2006-07,NSH,22,3,0,3,1,0,0,0,0,0,0,50.0,,50.0,,16:37,,,,
3,2007-08,NSH,23,13,6,-3,0,0,0,0,2,0,0,0.0,25,0.0,25,14:24,7,15,2,2
4,2008-09,NSH,24,63,19,-2,3,1,0,0,8,0,0,9.8,97,9.8,97,12:40,57,47,20,27
5,2009-10,NSH,25,81,27,-13,1,0,0,0,9,0,1,1.5,160,1.5,160,19:55,101,147,31,56
6,2010-11,NSH,26,81,24,9,2,0,0,0,15,0,1,2.0,194,2.0,194,20:48,128,173,31,61
7,2011-12,NSH,27,66,4,-8,4,0,0,2,15,1,1,4.4,180,4.4,180,19:56,84,151,25,50
8,2012-13,NSH,28,47,9,-1,3,0,0,0,11,0,0,5.6,126,5.6,126,20:25,66,89,23,32
9,2013-14,TOT,29,77,21,-7,2,0,0,0,7,0,0,2.7,162,2.7,162,17:20,111,137,19,33
10,2013-14,NSH,29,47,21,-11,1,0,0,0,2,0,0,2.0,106,2.0,106,18:48,75,94,17,22
11,2013-14,NYR,29,30,0,4,1,0,0,0,5,0,0,4.2,56,4.2,56,15:01,36,43,2,11
12,2014-15,NYR,30,65,25,24,9,0,0,4,17,0,0,11.8,175,11.8,175,18:29,126,115,15,44
13,2015-16,NYR,31,69,19,16,9,0,0,4,16,1,0,13.0,154,13.0,154,20:23,117,155,20,45
14,2016-17,NYR,32,21,0,2,0,0,0,0,4,1,1,0.0,34,0.0,34,17:57,37,52,8,13
