,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,CBJ,21,20,12,5,0,0,0,0,4,0,0,0.0,,0.0,,14:38,,,,
2,2007-08,CBJ,22,9,8,-1,0,0,0,0,0,0,0,0.0,18,0.0,18,14:14,16,2,0,1
3,2008-09,CBJ,23,66,55,7,4,0,0,0,13,0,0,6.9,119,6.9,119,17:57,135,54,8,18
4,2009-10,CBJ,24,60,51,-8,2,0,0,0,5,0,1,4.8,92,4.8,92,19:31,150,71,14,13
5,2010-11,CBJ,25,74,58,2,0,0,0,0,14,0,1,0.0,132,0.0,132,19:53,176,98,21,27
6,2011-12,CBJ,26,46,24,-11,1,0,0,0,6,0,0,2.4,89,2.4,89,20:03,106,52,10,13
7,2012-13,OTT,27,47,31,2,2,0,0,0,8,1,0,3.8,97,3.8,97,22:14,130,81,7,20
8,2013-14,OTT,28,75,28,1,6,0,0,1,14,3,0,5.1,210,5.1,210,21:45,181,110,21,43
9,2014-15,OTT,29,45,18,22,1,0,0,0,10,0,0,2.0,91,2.0,91,22:40,94,70,12,24
10,2015-16,OTT,30,69,34,12,5,0,0,0,7,0,0,6.8,132,6.8,132,20:39,124,90,10,49
11,2016-17,OTT,31,23,4,7,0,0,0,0,3,0,0,0.0,51,0.0,51,20:13,46,29,4,19
