,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,LAK,21,44,14,-6,3,2,0,1,7,7,0,5.4,,5.4,,14:04,,,,
2,2007-08,LAK,22,82,36,-8,16,3,3,2,22,7,2,10.0,395,10.0,395,18:42,95,45,38,61
3,2008-09,TOT,23,81,28,-6,13,2,1,1,20,7,0,6.2,481,6.2,481,19:09,66,36,40,67
4,2008-09,LAK,23,62,16,1,11,2,1,1,17,6,0,7.0,391,7.0,391,19:26,60,29,31,59
5,2008-09,EDM,23,19,12,-7,2,0,0,0,3,1,0,3.4,90,3.4,90,18:14,6,7,9,8
6,2009-10,EDM,24,73,32,-35,7,3,1,3,14,9,0,5.8,352,5.8,352,17:31,32,51,29,44
7,2010-11,TOT,25,31,4,-2,2,0,0,0,3,3,0,4.0,88,4.0,88,12:11,15,4,15,7
8,2010-11,CAR,25,10,2,-1,1,0,0,0,0,0,0,7.7,25,7.7,25,8:52,4,1,4,0
9,2010-11,MIN,25,21,2,-1,1,0,0,0,3,3,0,2.7,63,2.7,63,13:46,11,3,11,7
10,2011-12,PHX,26,23,2,-4,2,0,0,0,1,1,0,5.9,56,5.9,56,11:03,7,4,6,2
