,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,NJD,21,81,28,-1,12,2,0,5,9,9,0,10.5,,10.5,,13:08,,,,
2,2006-07,NJD,22,82,30,-3,22,9,0,7,18,13,0,12.6,,12.6,,17:32,,,,
3,2007-08,NJD,23,81,25,13,21,10,1,8,20,13,0,12.0,431,12.0,431,18:04,76,30,45,30
4,2008-09,NJD,24,82,24,30,31,14,0,8,30,16,3,12.4,544,12.4,544,18:45,65,17,34,17
5,2009-10,NJD,25,81,32,24,28,9,1,5,27,17,0,11.0,514,11.0,514,19:46,108,34,49,30
6,2010-11,NJD,26,13,6,-1,3,0,0,1,2,1,0,6.1,65,6.1,65,19:51,13,6,6,4
7,2011-12,NJD,27,82,32,-5,21,7,3,3,27,7,4,10.6,416,10.6,416,21:29,65,39,65,35
8,2012-13,MIN,28,48,16,2,11,7,0,4,14,6,0,9.9,263,9.9,263,20:40,59,41,24,16
9,2013-14,MIN,29,67,30,10,14,14,1,5,21,6,0,11.8,378,11.8,378,20:26,70,45,46,18
10,2014-15,MIN,30,74,41,21,22,11,0,3,24,5,0,12.7,406,12.7,406,19:11,86,56,47,24
11,2015-16,MIN,31,70,36,-3,18,7,0,7,17,11,0,10.7,385,10.7,385,19:18,71,42,39,18
12,2016-17,MIN,32,15,12,-1,3,1,0,0,4,1,0,8.3,70,8.3,70,18:14,14,16,9,4
