,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,SJS,22,46,18,4,9,5,0,3,8,6,0,12.6,,12.6,,15:02,,,,
2,2007-08,SJS,23,82,28,1,10,8,1,4,11,10,0,9.2,327,9.2,327,14:07,67,59,37,26
3,2008-09,SJS,24,80,46,5,14,8,3,3,18,15,1,9.4,435,9.4,435,18:58,82,74,58,41
4,2009-10,SJS,25,67,26,1,21,3,1,5,15,10,1,11.0,386,11.0,386,19:29,58,60,42,38
5,2010-11,SJS,26,74,24,10,8,11,1,5,27,17,2,7.1,453,7.1,453,19:39,61,67,51,49
6,2011-12,SJS,27,82,31,18,22,8,1,2,20,10,0,11.5,503,11.5,503,20:37,50,84,73,61
7,2012-13,SJS,28,48,10,2,11,5,0,5,8,6,1,12.3,243,12.3,243,18:55,48,44,38,28
8,2013-14,SJS,29,82,32,23,24,16,1,3,22,15,1,18.2,462,18.2,462,19:51,47,68,56,57
9,2014-15,SJS,30,82,29,12,18,19,0,5,21,12,0,14.2,433,14.2,433,20:08,92,82,55,62
10,2015-16,SJS,31,82,30,25,26,12,0,11,24,16,0,17.0,394,17.0,394,19:49,147,67,46,82
11,2016-17,SJS,32,24,12,3,5,2,0,2,8,6,0,9.1,135,9.1,135,19:27,52,27,13,24
