,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,MDA,20,56,50,1,9,4,0,2,5,7,0,13.3,,13.3,,11:34,,,,
2,2006-07,ANA,21,82,55,12,13,4,0,3,11,16,0,8.8,,8.8,,12:28,,,,
3,2007-08,ANA,22,70,108,12,18,11,0,4,19,6,0,14.5,326,14.5,326,17:57,95,11,29,43
4,2008-09,ANA,23,78,109,10,22,10,0,8,26,14,0,11.3,443,11.3,443,18:36,109,13,33,45
5,2009-10,ANA,24,82,111,0,20,6,1,2,31,17,1,10.0,450,10.0,450,21:04,93,34,38,54
6,2010-11,ANA,25,82,104,9,32,14,4,11,30,17,1,17.2,483,17.2,483,22:19,64,41,55,54
7,2011-12,ANA,26,80,127,-7,22,14,1,6,13,9,1,13.4,463,13.4,463,21:23,65,45,34,48
8,2012-13,ANA,27,44,72,10,10,5,0,5,15,5,1,11.7,208,11.7,208,19:04,49,18,18,21
9,2013-14,ANA,28,81,65,32,35,8,0,9,29,10,0,15.4,492,15.4,492,19:29,81,28,31,56
10,2014-15,ANA,29,67,67,13,29,4,0,3,19,3,0,17.1,349,17.1,349,18:06,64,27,25,46
11,2015-16,ANA,30,82,68,2,22,12,0,6,16,12,0,15.8,384,15.8,384,17:42,104,36,25,53
12,2016-17,ANA,31,23,23,-3,4,0,0,0,6,8,0,5.6,116,5.6,116,19:06,21,8,8,3
