,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,DET,20,1,0,0,0,0,0,0,0,0,0,0.0,,0.0,,11:37,,,,
2,2006-07,DET,21,6,0,0,1,0,0,0,0,0,0,14.3,,14.3,,11:26,,,,
3,2007-08,DET,22,6,4,-3,0,0,0,0,0,0,0,0.0,10,0.0,10,13:58,12,7,1,4
4,2008-09,LAK,23,72,63,-5,2,2,0,2,8,25,1,2.7,360,2.7,360,20:59,116,75,17,53
5,2009-10,COL,24,79,76,9,5,1,0,0,12,10,1,4.3,311,4.3,311,23:37,115,143,47,52
6,2010-11,COL,25,21,18,-5,0,0,0,0,1,0,0,0.0,73,0.0,73,19:35,28,26,6,7
7,2011-12,TOT,26,72,89,-1,3,4,0,1,11,6,2,4.2,336,4.2,336,21:52,101,94,24,35
8,2011-12,COL,26,54,60,-1,2,3,0,1,10,6,2,3.8,269,3.8,269,22:21,68,70,22,29
9,2011-12,DET,26,18,29,0,1,1,0,0,1,0,0,5.4,67,5.4,67,20:22,33,24,2,6
10,2012-13,DET,27,36,18,7,1,0,0,0,1,1,0,2.8,102,2.8,102,19:13,29,46,6,18
11,2013-14,DET,28,82,88,-5,4,0,0,1,9,0,0,3.8,213,3.8,213,20:48,88,109,31,39
12,2014-15,DET,29,73,77,10,3,0,0,0,14,0,1,3.3,217,3.3,217,19:29,104,82,15,24
13,2015-16,DET,30,47,36,1,4,0,0,2,7,0,0,6.5,113,6.5,113,19:46,49,62,8,26
14,2016-17,NJD,31,22,12,7,2,0,0,0,4,0,0,6.9,52,6.9,52,17:12,30,33,7,11
