,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,CHI,20,69,60,5,4,1,0,2,12,15,0,4.4,,4.4,,20:02,,,,
2,2006-07,CHI,21,81,104,-6,4,0,0,0,14,4,2,2.8,,2.8,,20:46,,,,
3,2007-08,CHI,22,82,90,13,5,4,0,2,14,8,1,5.9,250,5.9,250,21:30,167,106,21,41
4,2008-09,CHI,23,82,62,23,4,3,1,1,13,5,0,6.1,269,6.1,269,23:19,224,113,26,35
5,2009-10,CHI,24,78,59,20,4,0,0,2,18,6,2,3.1,285,3.1,285,23:13,208,153,24,43
6,2010-11,CHI,25,82,47,0,4,5,0,1,22,15,2,6.7,289,6.7,289,24:23,227,154,27,69
7,2011-12,CHI,26,78,22,21,7,2,0,3,22,2,1,5.8,304,5.8,304,24:43,198,165,34,57
8,2012-13,CHI,27,47,23,12,5,3,0,1,8,4,0,12.3,148,12.3,148,21:00,106,103,15,40
9,2013-14,CHI,28,82,22,23,3,3,1,0,28,6,0,4.7,317,4.7,317,22:16,171,142,35,68
10,2014-15,CHI,29,82,27,-3,4,4,0,2,11,11,1,4.4,379,4.4,379,22:11,135,141,27,65
11,2015-16,CHI,30,81,32,6,8,6,0,3,16,19,0,8.4,354,8.4,354,22:49,121,150,19,89
12,2016-17,CHI,31,24,6,7,0,2,0,0,8,3,0,5.1,89,5.1,89,22:54,39,35,5,28
