,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,NSH,24,2,0,0,0,0,0,0,0,0,0,</td,0,</td,0,6:34,0,1,1,0
2,2009-10,NSH,25,20,4,4,0,0,0,0,1,0,1,0.0,37,0.0,37,13:23,11,18,4,11
3,2010-11,TOT,26,40,14,-8,1,0,0,0,2,2,0,2.7,85,2.7,85,17:33,38,52,8,10
4,2010-11,NSH,26,31,14,-5,1,0,0,0,1,2,0,3.3,67,3.3,67,17:42,29,38,7,8
5,2010-11,FLA,26,9,0,-3,0,0,0,0,1,0,0,0.0,18,0.0,18,17:00,9,14,1,2
6,2011-12,TOT,27,27,8,8,3,0,0,0,5,1,0,9.1,79,9.1,79,17:49,17,38,4,9
7,2011-12,VAN,27,12,2,6,0,0,0,0,1,0,0,0.0,28,0.0,28,15:59,6,14,3,5
8,2011-12,BUF,27,15,6,2,3,0,0,0,4,1,0,13.6,51,13.6,51,19:18,11,24,1,4
9,2012-13,BUF,28,17,10,3,3,0,0,1,1,0,0,20.0,31,20.0,31,16:31,5,19,2,8
10,2013-14,BUF,29,25,8,-3,0,0,0,0,0,1,1,0.0,49,0.0,49,18:08,11,44,1,10
