,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,BUF,22,81,72,-11,14,11,0,4,10,13,0,12.3,,12.3,,14:44,,,,
2,2006-07,BUF,23,82,40,<str,28,15,0,5,34,7,0,18.1,,18.1,,16:47,,,,
3,2007-08,BUF,24,82,64,-5,17,19,0,9,23,5,0,15.0,380,15.0,380,16:51,45,24,32,59
4,2008-09,BUF,25,73,44,-1,18,20,2,5,18,6,0,19.0,347,19.0,347,17:12,34,27,33,56
5,2009-10,BUF,26,71,42,9,18,10,0,6,17,8,0,15.4,315,15.4,315,16:46,45,15,34,39
6,2010-11,BUF,27,80,24,2,21,11,0,5,24,17,0,13.4,383,13.4,383,17:21,30,12,43,45
7,2011-12,BUF,28,78,52,-6,16,10,0,5,21,14,0,12.7,328,12.7,328,16:56,34,22,24,43
8,2012-13,BUF,29,38,20,-1,10,9,1,2,16,5,0,16.8,200,16.8,200,18:24,13,4,34,30
9,2013-14,TOT,30,78,46,7,19,8,0,4,31,10,0,10.9,424,10.9,424,19:21,30,17,31,50
10,2013-14,BUF,30,13,4,-5,3,1,0,0,2,3,0,8.0,67,8.0,67,18:37,3,4,6,8
11,2013-14,NYI,30,47,34,4,12,5,0,2,20,7,0,12.4,250,12.4,250,20:00,17,10,16,37
12,2013-14,MTL,30,18,8,8,4,2,0,2,9,0,0,9.8,107,9.8,107,18:11,10,3,9,5
13,2014-15,MIN,31,80,37,-6,16,5,0,2,19,12,0,12.3,291,12.3,291,16:13,32,13,28,52
14,2015-16,MIN,32,74,22,-9,12,6,0,5,15,8,0,12.3,248,12.3,248,15:37,18,17,22,51
15,2016-17,DET,33,12,8,5,2,2,0,0,4,2,0,21.1,32,21.1,32,14:10,5,1,6,5
