,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,FLA,23,964,895,51.9,2.9,742,723,50.6,2.4,9.2,93.0,102.,53.1,46.9
2,2008-09,FLA,24,998,932,51.7,5.5,746,733,50.4,4.9,9.7,92.2,101.,49.0,51.0
3,2009-10,FLA,25,418,403,50.9,5.1,308,312,49.7,3.3,7.2,92.8,100.,47.5,52.5
4,2010-11,FLA,26,1340,1255,51.6,2.7,993,963,50.8,2.1,7.0,89.0,95.9,49.8,50.2
5,2011-12,TOT,27,884,658,57.3,6.3,651,513,55.9,6.2,6.3,91.2,97.5,58.9,41.1
6,2011-12,FLA,27,53,63,45.7,1.4,37,52,41.6,-3.4,0.0,84.6,84.6,57.1,42.9
7,2011-12,VAN,27,831,595,58.3,6.8,614,461,57.1,7.1,6.7,91.9,98.6,59.0,41.0
8,2012-13,VAN,28,138,89,60.8,6.9,95,66,59.0,5.4,5.4,87.5,92.9,47.1,52.9
9,2013-14,VAN,29,831,770,51.9,-0.1,598,568,51.3,-0.9,6.6,93.6,100.,45.4,54.6
10,2014-15,TOR,30,510,577,46.9,1.0,380,437,46.5,1.1,5.2,92.3,97.5,43.5,56.5
