,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,MTL,21,297,349,46.0,-3.9,206,258,44.4,-5.1,7.2,92.4,99.6,36.0,64.0
2,2008-09,MTL,22,82,120,40.6,-2.3,60,95,38.7,-5.6,7.1,87.3,94.5,56.5,43.5
3,2009-10,TOT,23,576,685,45.7,-5.0,429,517,45.3,-5.0,5.7,91.6,97.2,46.9,53.1
4,2009-10,MTL,23,139,115,54.7,4.1,89,79,53.0,1.7,0.0,83.9,83.9,43.2,56.8
5,2009-10,ANA,23,437,570,43.4,-7.4,340,438,43.7,-6.1,7.0,93.1,100.,47.7,52.3
6,2010-11,ANA,24,228,272,45.6,-1.4,179,211,45.9,-1.3,4.5,96.6,101.,64.5,35.5
7,2011-12,PHX,25,482,518,48.2,-1.6,364,407,47.2,-1.7,8.2,93.6,101.,48.3,51.7
8,2012-13,PHX,26,398,398,50.0,-1.7,306,301,50.4,-1.9,9.0,91.3,100.,57.3,42.7
9,2013-14,PHX,27,696,659,51.4,0.0,495,502,49.6,-1.4,8.0,93.0,101.,39.9,60.1
10,2014-15,ARI,28,815,825,49.7,1.8,590,622,48.7,1.5,3.6,91.3,94.9,35.3,64.7
11,2015-16,ARI,29,507,634,44.4,-2.8,376,490,43.4,-2.7,6.6,91.6,98.2,36.8,63.2
