,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DAL,23,659,616,51.7,-3.0,505,484,51.1,-2.4,10.6,91.4,102.,51.0,49.0
2,2008-09,DAL,24,947,1041,47.6,-6.3,742,806,47.9,-6.9,8.4,90.7,99.1,46.3,53.7
3,2009-10,DAL,25,1011,1165,46.5,-4.7,765,879,46.5,-4.7,9.1,90.3,99.3,43.4,56.6
4,2010-11,DAL,26,739,868,46.0,-2.6,554,644,46.2,-1.8,10.0,93.0,103.,40.1,59.9
5,2011-12,TOT,27,994,1237,44.6,-8.9,765,874,46.7,-7.4,8.7,92.1,100.,43.7,56.3
6,2011-12,DAL,27,691,889,43.7,-9.1,541,627,46.3,-7.7,7.7,92.5,100.,44.3,55.7
7,2011-12,PHI,27,303,348,46.5,-8.3,224,247,47.6,-6.8,11.2,90.9,102.,42.4,57.6
8,2012-13,PHI,28,372,421,46.9,-3.8,274,293,48.3,-1.9,7.1,91.3,98.5,42.3,57.7
9,2013-14,PHI,29,1135,1294,46.7,-6.8,838,945,47.0,-6.1,7.9,91.8,99.8,44.6,55.4
10,2014-15,PHI,30,863,1008,46.1,-4.1,609,738,45.2,-5.0,8.8,94.1,102.,51.1,48.9
11,2015-16,ARI,31,669,856,43.9,-5.9,490,659,42.6,-6.0,6.4,94.2,100.,39.3,60.7
12,2016-17,CGY,32,29,33,46.8,-2.2,21,27,43.8,-6.6,0.0,75.0,75.0,31.3,68.8
