,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,VAN,21,31,35,47.0,-15.,25,25,50.0,-11.,0.0,100.,100.,52.4,47.6
2,2008-09,VAN,22,514,507,50.3,2.6,392,389,50.2,2.5,12.2,89.3,101.,42.2,57.8
3,2009-10,VAN,23,429,396,52.0,0.4,324,302,51.8,0.3,8.0,89.1,97.1,50.2,49.8
4,2010-11,VAN,24,914,913,50.0,-4.3,686,673,50.5,-2.9,8.1,94.2,102.,33.8,66.2
5,2011-12,VAN,25,961,923,51.0,-3.8,678,683,49.8,-3.8,10.2,93.5,103.,40.4,59.6
6,2012-13,VAN,26,606,580,51.1,-4.1,447,441,50.3,-3.4,10.7,93.3,104.,52.3,47.7
7,2013-14,VAN,27,943,877,51.8,-0.9,674,636,51.5,-1.1,6.1,91.5,97.6,47.0,53.0
8,2014-15,VAN,28,881,938,48.4,-1.3,657,660,49.9,-0.4,8.6,90.0,98.6,47.2,52.8
9,2015-16,VAN,29,794,848,48.4,1.0,608,676,47.4,-0.1,11.8,92.5,104.,58.6,41.4
10,2016-17,VAN,30,163,165,49.7,1.2,121,116,51.1,4.0,7.7,91.0,98.7,55.6,44.4
