,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,BOS,21,612,514,54.4,2.4,459,391,54.0,3.2,6.0,91.7,97.7,51.9,48.1
2,2008-09,BOS,22,965,896,51.9,1.6,737,664,52.6,2.8,11.1,94.7,105.,49.6,50.4
3,2009-10,BOS,23,1105,963,53.4,-1.6,801,738,52.0,-3.4,9.1,92.1,101.,51.1,48.9
4,2010-11,BOS,24,1157,1056,52.3,-0.9,846,789,51.7,-1.2,9.7,94.1,103.,51.7,48.3
5,2011-12,BOS,25,1268,1069,54.3,-1.0,897,814,52.4,-2.7,9.6,88.9,98.5,54.8,45.2
6,2012-13,BOS,26,834,643,56.5,1.9,597,478,55.5,1.5,8.9,89.9,98.8,53.1,46.9
7,2013-14,BOS,27,1322,1195,52.5,-2.4,964,902,51.7,-3.3,11.0,94.6,105.,54.4,45.6
8,2014-15,BOS,28,708,655,51.9,-0.8,507,522,49.3,-3.6,8.9,93.8,102.,53.0,47.0
9,2015-16,BOS,29,1069,1054,50.4,1.3,787,791,49.9,0.5,9.6,91.2,100.,51.7,48.3
10,2016-17,BOS,30,355,275,56.3,2.9,271,196,58.0,4.9,5.1,91.6,96.7,51.9,48.1
