,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,OTT,22,1260,1167,51.9,0.8,942,922,50.5,0.0,9.3,91.0,100.,55.1,44.9
2,2008-09,TBL,23,790,882,47.2,-2.1,621,694,47.2,-2.2,8.2,92.6,100.,48.3,51.7
3,2009-10,TBL,24,1104,1169,48.6,-0.2,846,898,48.5,-0.3,6.2,91.9,98.1,49.6,50.4
4,2010-11,PHI,25,1332,1332,50.0,-1.9,974,991,49.6,-3.8,10.1,93.6,103.,45.2,54.8
5,2011-12,PHI,26,1074,1004,51.7,-1.6,787,751,51.2,-2.3,9.4,90.8,100.,51.8,48.2
6,2012-13,PHI,27,120,187,39.1,-16.,78,130,37.5,-19.,3.1,89.5,92.6,42.9,57.1
7,2013-14,TOT,28,738,778,48.7,-2.2,523,589,47.0,-2.2,9.8,92.5,102.,55.8,44.2
8,2013-14,PHI,28,558,558,50.0,0.9,390,421,48.1,0.6,9.9,91.4,101.,54.7,45.3
9,2013-14,BOS,28,180,220,45.0,-14.,133,168,44.2,-12.,9.8,95.1,104.,58.3,41.7
10,2014-15,BUF,29,695,1082,39.1,0.9,541,799,40.4,0.8,8.6,91.9,100.,48.1,51.9
