,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,FLA,22,48,12,0,3,0,0,1,7,0,0,3.5,,3.5,,9:34,,,,
2,2007-08,FLA,23,73,26,13,21,1,0,6,17,1,0,9.6,371,9.6,371,16:10,113,29,30,26
3,2008-09,FLA,24,72,38,10,20,11,0,5,23,5,1,12.6,403,12.6,403,17:05,91,20,35,28
4,2009-10,FLA,25,28,23,-3,8,0,0,1,3,5,0,8.4,162,8.4,162,18:08,50,10,11,12
5,2010-11,FLA,26,82,26,-31,15,8,0,3,15,2,0,8.2,486,8.2,486,18:54,129,25,28,24
6,2011-12,TOT,27,62,34,-5,13,3,0,1,9,5,0,10.1,262,10.1,262,14:56,81,13,20,25
7,2011-12,FLA,27,6,2,-6,0,0,0,0,0,1,0,0.0,18,0.0,18,15:30,12,1,3,2
8,2011-12,VAN,27,56,32,1,13,3,0,1,9,4,0,11.0,244,11.0,244,14:52,69,12,17,23
9,2012-13,VAN,28,12,4,-3,1,0,0,0,2,0,0,3.7,43,3.7,43,12:45,24,1,2,0
10,2013-14,VAN,29,66,18,1,9,0,0,0,9,1,0,7.7,228,7.7,228,13:28,121,17,23,16
11,2014-15,TOR,30,59,25,-8,7,0,0,2,5,0,1,6.5,181,6.5,181,11:56,87,8,27,12
