,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,NYI,21,80,46,-16,7,2,0,2,14,11,0,7.3,,7.3,,18:32,,,,
2,2006-07,NYI,22,51,23,-3,1,0,0,0,9,4,0,2.4,,2.4,,14:50,,,,
3,2007-08,NYI,23,46,16,-1,1,2,1,0,5,9,0,5.9,130,5.9,130,19:09,51,47,19,21
4,2008-09,TOT,24,76,55,-16,8,2,1,4,9,9,1,12.1,184,12.1,184,19:32,81,86,42,29
5,2008-09,NYI,24,51,43,-20,5,0,1,2,6,5,0,11.3,114,11.3,114,19:50,56,58,34,18
6,2008-09,OTT,24,25,12,4,3,2,0,2,3,4,1,13.2,70,13.2,70,18:58,25,28,8,11
7,2009-10,OTT,25,67,16,-3,3,1,0,1,12,2,0,5.6,148,5.6,148,17:51,98,78,18,26
8,2010-11,TOT,26,77,36,0,3,1,0,1,16,1,0,4.8,184,4.8,184,19:08,99,91,19,32
9,2010-11,OTT,26,58,34,-3,3,0,0,0,10,1,0,5.1,135,5.1,135,18:49,73,70,13,22
10,2010-11,CHI,26,19,2,3,0,1,0,1,6,0,0,4.0,49,4.0,49,20:08,26,21,6,10
11,2011-12,MTL,27,43,8,-3,2,0,0,0,6,3,0,4.7,86,4.7,86,17:12,43,59,12,31
