,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,DET,26,80,36,4,10,0,2,2,4,0,0,10.1,,10.1,,12:27,,,,
2,2006-07,DET,27,69,37,20,9,0,1,2,16,1,3,6.6,,6.6,,15:35,,,,
3,2007-08,DET,28,72,51,12,13,14,0,8,8,2,1,13.6,306,13.6,306,17:44,89,24,39,28
4,2008-09,DET,29,71,44,21,22,11,1,8,17,8,0,13.8,367,13.8,367,18:06,90,22,24,23
5,2009-10,DET,30,27,22,1,4,6,0,1,6,5,0,11.0,149,11.0,149,18:42,46,12,13,13
6,2010-11,DET,31,76,58,5,18,10,0,5,20,7,0,11.3,410,11.3,410,17:26,143,29,36,35
7,2011-12,DET,32,77,40,23,18,11,0,10,25,2,0,13.7,379,13.7,379,17:42,60,30,30,35
8,2012-13,DET,33,41,41,13,8,6,0,1,11,6,0,12.1,201,12.1,201,18:05,43,17,16,21
9,2013-14,DET,34,54,40,6,9,7,0,4,15,10,0,10.7,251,10.7,251,17:39,66,23,18,28
10,2014-15,DET,35,33,30,-12,3,4,0,3,8,7,0,9.5,126,9.5,126,16:04,45,13,4,17
11,2015-16,DET,36,2,2,0,0,0,0,0,0,1,0,0.0,6,0.0,6,12:57,3,0,0,0
