,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,PIT,22,3,2,2,0,0,0,0,2,0,0,0.0,3,0.0,3,13:56,1,4,1,0
2,2008-09,PIT,23,45,16,5,2,4,0,0,10,4,0,9.8,138,9.8,138,18:18,30,49,9,24
3,2009-10,PIT,24,69,22,7,6,2,0,0,14,15,0,8.2,233,8.2,233,21:25,48,93,12,48
4,2010-11,TOT,25,83,40,20,7,7,0,4,15,17,0,8.6,371,8.6,371,22:14,75,106,14,56
5,2010-11,PIT,25,60,28,20,5,4,0,4,9,13,0,8.9,254,8.9,254,20:46,51,74,8,31
6,2010-11,DAL,25,23,12,0,2,3,0,0,6,4,0,8.2,138,8.2,138,26:04,24,32,6,25
7,2011-12,DAL,26,71,16,0,7,2,0,1,13,7,1,6.4,338,6.4,338,22:46,49,93,19,46
8,2012-13,DAL,27,47,18,4,3,0,0,0,12,11,1,3.8,202,3.8,202,22:23,56,66,5,38
9,2013-14,DAL,28,81,28,9,3,3,0,0,24,12,0,4.3,294,4.3,294,24:19,92,153,18,86
10,2014-15,DAL,29,81,24,0,4,0,0,0,22,8,2,3.3,282,3.3,282,23:49,100,157,30,83
11,2015-16,DAL,30,82,34,21,4,1,0,1,27,4,1,3.9,298,3.9,298,23:50,100,159,18,73
12,2016-17,ARI,31,21,4,-9,0,0,0,0,6,2,0,0.0,61,0.0,61,23:20,25,33,1,11
