,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,WSH,20,22,18,-8,1,0,0,0,1,1,0,7.7,,7.7,,14:54,,,,
2,2006-07,WSH,21,70,36,-10,2,0,0,0,4,6,0,2.9,,2.9,,15:29,,,,
3,2007-08,WSH,22,82,62,6,10,8,0,4,23,15,0,7.7,460,7.7,460,23:38,94,68,53,85
4,2008-09,WSH,23,68,68,24,12,18,1,4,22,20,0,12.8,465,12.8,465,25:46,86,110,49,95
5,2009-10,WSH,24,75,54,39,9,10,0,4,31,25,1,9.3,435,9.3,435,25:29,133,105,44,73
6,2010-11,WSH,25,49,48,6,3,5,0,1,10,5,1,7.0,246,7.0,246,25:12,100,106,25,54
7,2011-12,WSH,26,32,12,5,0,3,0,1,3,1,0,4.7,149,4.7,149,21:03,27,44,23,30
8,2012-13,WSH,27,35,20,-3,8,4,0,2,4,10,0,12.5,200,12.5,200,24:51,36,61,14,25
9,2013-14,WSH,28,70,64,-16,6,3,0,2,17,12,0,5.2,368,5.2,368,22:44,62,107,32,65
10,2014-15,WSH,29,72,34,15,9,1,0,2,19,16,0,6.3,308,6.3,308,19:06,82,93,30,61
11,2015-16,DET,30,74,38,-6,2,5,0,0,13,15,0,5.6,255,5.6,255,19:46,106,71,18,40
12,2016-17,DET,31,23,16,1,3,1,0,1,6,3,0,10.0,93,10.0,93,24:17,20,28,9,18
