,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,BOS,22,13,4,-1,0,0,0,0,0,1,0,0.0,11,0.0,11,10:36,8,6,2,3
2,2008-09,BOS,23,53,31,15,6,0,0,1,13,8,0,10.3,113,10.3,113,16:59,45,50,10,8
3,2009-10,BOS,24,76,32,-16,4,1,1,1,8,0,0,10.0,146,10.0,146,17:58,64,63,8,20
4,2010-11,TOT,25,73,25,-15,1,0,0,0,9,3,0,1.0,189,1.0,189,18:31,65,71,26,36
5,2010-11,BOS,25,22,9,4,1,0,0,0,2,0,0,3.8,49,3.8,49,16:13,16,14,4,7
6,2010-11,COL,25,51,16,-19,0,0,0,0,7,3,0,0.0,140,0.0,140,19:30,49,57,22,29
7,2011-12,COL,26,33,8,-3,3,0,0,0,3,0,0,7.5,76,7.5,76,18:04,24,30,11,19
8,2012-13,COL,27,43,16,4,0,0,0,0,6,0,0,0.0,112,0.0,112,21:31,40,59,30,22
9,2013-14,COL,28,1,0,0,0,0,0,0,0,0,0,0.0,3,0.0,3,17:27,1,2,0,0
10,2014-15,NYR,29,55,16,17,2,0,0,1,7,2,0,2.8,140,2.8,140,15:49,55,43,15,27
11,2015-16,TOR,30,60,32,-17,2,0,0,1,6,2,0,2.7,183,2.7,183,22:34,126,98,24,44
12,2016-17,TOR,31,15,2,3,0,0,0,0,4,0,0,0.0,34,0.0,34,17:47,28,22,9,12
