,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,OTT,20,82,61,34,5,5,0,2,9,19,1,7.3,,7.3,,18:11,,,,
2,2006-07,OTT,21,82,102,-15,7,0,0,1,17,10,1,4.8,,4.8,,21:41,,,,
3,2007-08,OTT,22,82,50,5,2,6,1,1,17,10,0,5.6,354,5.6,354,21:02,101,100,33,48
4,2008-09,TBL,23,52,36,-4,1,1,0,1,10,4,0,2.3,182,2.3,182,24:11,68,98,21,40
5,2009-10,TBL,24,81,50,-14,4,2,0,1,6,5,0,4.1,277,4.1,277,20:11,111,107,26,35
6,2010-11,PHI,25,81,42,30,5,3,0,2,21,3,0,5.6,314,5.6,314,21:07,189,139,34,40
7,2011-12,PHI,26,62,38,6,5,2,0,2,17,1,0,6.1,239,6.1,239,20:40,144,88,21,30
8,2012-13,PHI,27,11,2,-9,0,0,0,0,1,1,0,0.0,42,0.0,42,18:28,18,24,2,6
9,2013-14,TOT,28,52,40,5,6,1,0,0,14,1,0,8.3,183,8.3,183,17:47,67,64,11,28
10,2013-14,PHI,28,38,34,1,5,0,0,0,11,1,0,8.1,143,8.1,143,17:22,54,49,8,20
11,2013-14,BOS,28,14,6,4,1,1,0,0,3,0,0,9.1,40,9.1,40,18:54,13,15,3,8
12,2014-15,BUF,29,60,36,-13,6,1,0,1,7,0,0,10.4,139,10.4,139,17:54,67,94,8,18
