,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,NYI,20,15,4,-1,1,0,0,1,1,0,0,7.7,,7.7,,7:47,,,,
2,2007-08,BOS,22,57,19,0,7,0,0,1,3,0,0,17.5,64,17.5,64,8:16,53,19,4,7
3,2008-09,TOT,23,50,16,2,3,0,1,0,5,0,0,7.1,88,7.1,88,11:15,46,23,16,10
4,2008-09,BOS,23,33,10,-1,0,0,0,0,3,0,0,0.0,45,0.0,45,9:40,30,10,8,4
5,2008-09,ANA,23,17,6,3,3,0,1,0,2,0,0,15.4,43,15.4,43,14:20,16,13,8,6
6,2009-10,TOT,24,67,27,-9,5,0,0,0,5,2,1,5.7,134,5.7,134,12:17,80,33,15,17
7,2009-10,ANA,24,50,21,-7,4,0,0,0,5,1,1,5.7,104,5.7,104,12:56,57,32,12,15
8,2009-10,PHX,24,17,6,-2,1,0,0,0,0,1,0,5.6,30,5.6,30,10:24,23,1,3,2
9,2011-12,TOT,26,56,37,-6,3,0,0,1,4,0,0,8.1,69,8.1,69,8:48,46,10,6,6
10,2011-12,PHX,26,5,0,-1,0,0,0,0,1,0,0,0.0,8,0.0,8,10:58,5,1,0,0
11,2011-12,MTL,26,51,37,-5,3,0,0,1,3,0,0,8.8,61,8.8,61,8:35,41,9,6,6
