,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,NSH,23,7,2,-5,0,0,0,0,0,0,0,0.0,17,0.0,17,12:15,3,1,3,4
2,2009-10,NSH,24,25,8,-8,2,0,0,0,1,0,0,5.6,59,5.6,59,10:57,9,6,9,7
3,2010-11,FLA,25,82,20,-17,14,5,1,1,14,7,0,10.4,320,10.4,320,16:41,60,22,32,16
4,2011-12,FLA,26,60,18,-10,7,2,0,1,1,1,0,7.7,178,7.7,178,12:24,49,17,15,10
5,2012-13,TOT,27,34,2,-12,2,0,0,0,2,0,0,5.7,83,5.7,83,11:52,12,3,6,3
6,2012-13,FLA,27,24,2,-7,2,0,0,0,1,0,0,9.5,52,9.5,52,11:06,7,3,5,2
7,2012-13,WPG,27,10,0,-5,0,0,0,0,1,0,0,0.0,31,0.0,31,13:43,5,0,1,1
8,2013-14,VAN,28,49,6,9,10,0,0,3,16,0,2,11.0,185,11.0,185,18:34,23,44,22,7
9,2014-15,TOT,29,79,14,0,11,0,1,2,18,2,1,8.3,223,8.3,223,14:23,55,34,44,25
10,2014-15,TOR,29,57,8,7,10,0,1,1,15,2,1,10.8,153,10.8,153,14:57,47,26,35,23
11,2014-15,NSH,29,22,6,-7,1,0,0,1,3,0,0,2.3,70,2.3,70,12:55,8,8,9,2
12,2015-16,ANA,30,70,8,-4,8,1,0,1,7,2,0,11.1,131,11.1,131,10:06,28,20,5,15
