,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,BUF,20,2,2,1,0,0,0,0,0,0,0,</td,,</td,,7:31,,,,
2,2007-08,BUF,21,37,16,5,2,0,0,1,3,3,0,7.1,72,7.1,72,19:37,19,50,14,14
3,2008-09,BUF,22,69,22,-11,2,1,0,1,12,4,0,3.6,194,3.6,194,20:42,64,94,19,47
4,2009-10,BUF,23,49,6,-1,4,0,0,0,6,1,0,6.8,114,6.8,114,17:27,39,46,11,23
5,2010-11,BUF,24,76,34,11,3,0,0,0,20,6,0,3.4,228,3.4,228,21:06,61,85,38,51
6,2011-12,BUF,25,69,18,3,2,1,0,0,10,0,0,3.4,185,3.4,185,19:36,56,93,25,30
7,2012-13,BUF,26,37,4,-2,2,0,0,0,9,0,1,6.1,85,6.1,85,21:12,30,73,10,19
8,2013-14,CAR,27,74,20,4,6,4,1,1,22,11,0,7.7,310,7.7,310,23:41,54,127,68,38
9,2014-15,TOT,28,73,14,-3,2,1,0,0,14,5,1,3.0,269,3.0,269,21:59,59,118,43,56
10,2014-15,CAR,28,57,8,-7,1,1,0,0,12,4,1,2.6,213,2.6,213,22:46,46,100,42,46
11,2014-15,LAK,28,16,6,4,1,0,0,0,2,1,0,4.3,56,4.3,56,19:13,13,18,1,10
12,2015-16,EDM,29,81,12,-15,4,2,0,2,11,12,1,3.9,343,3.9,343,21:50,60,156,37,82
13,2016-17,EDM,30,24,8,8,3,0,0,0,3,1,0,12.5,89,12.5,89,20:17,15,37,12,15
