,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,CHI,21,13,6,-1,2,0,0,0,2,0,0,9.5,33,9.5,33,15:52,15,6,4,1
2,2008-09,CHI,22,78,55,15,12,6,4,3,18,10,3,15.8,224,15.8,224,17:02,43,23,48,24
3,2009-10,CHI,23,79,35,8,13,4,3,4,16,7,1,10.9,294,10.9,294,15:44,35,26,61,27
4,2010-11,TOT,24,80,53,-9,14,6,1,0,17,8,0,11.7,366,11.7,366,17:44,45,56,53,35
5,2010-11,TOR,24,53,29,-13,9,5,0,0,13,8,0,10.9,271,10.9,271,18:56,20,39,40,21
6,2010-11,PHI,24,27,24,4,5,1,1,0,4,0,0,13.5,95,13.5,95,15:22,25,17,13,14
7,2011-12,FLA,25,71,49,4,14,8,1,5,21,10,0,12.7,296,12.7,296,19:55,52,19,62,36
8,2012-13,FLA,26,10,8,-8,2,0,0,0,1,1,0,10.0,33,10.0,33,16:53,5,3,7,6
9,2013-14,TOT,27,81,36,0,11,1,0,1,17,7,0,7.6,270,7.6,270,14:28,29,23,37,20
10,2013-14,FLA,27,18,9,-9,2,0,0,0,3,2,0,4.3,85,4.3,85,15:42,6,5,13,6
11,2013-14,CHI,27,63,27,9,9,1,0,1,14,5,0,9.1,185,9.1,185,14:06,23,18,24,14
12,2014-15,CHI,28,61,35,11,12,2,0,1,17,3,0,10.4,228,10.4,228,15:51,31,22,31,24
13,2015-16,TOT,29,77,45,0,13,2,0,4,16,7,0,9.6,288,9.6,288,15:23,20,32,38,38
14,2015-16,CAR,29,63,36,-6,9,2,0,2,15,7,0,8.1,248,8.1,248,16:23,17,30,37,36
15,2015-16,LAK,29,14,9,6,4,0,0,2,1,0,0,20.0,40,20.0,40,10:54,3,2,1,2
16,2016-17,CGY,30,16,6,7,3,0,0,0,4,0,0,14.3,37,14.3,37,12:49,1,7,7,6
