,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,PHX,22,79,25,-3,11,0,0,1,12,1,2,9.0,181,9.0,181,14:06,75,46,30,17
2,2008-09,PHX,23,49,63,1,3,0,0,0,4,0,0,4.5,107,4.5,107,13:04,79,27,18,2
3,2009-10,PHX,24,74,12,1,4,0,0,1,13,0,2,4.8,136,4.8,136,13:09,103,53,28,7
4,2010-11,COL,25,80,35,-2,7,2,2,1,11,3,1,6.6,273,6.6,273,16:33,54,52,49,19
5,2011-12,TOT,26,84,52,-11,7,0,1,1,14,0,1,4.3,306,4.3,306,16:42,95,50,55,24
6,2011-12,COL,26,63,42,-11,4,0,1,0,12,0,1,3.2,249,3.2,249,17:42,63,31,46,15
7,2011-12,SJS,26,21,10,0,3,0,0,1,2,0,0,10.3,57,10.3,57,13:40,32,19,9,9
8,2012-13,ANA,27,48,16,13,6,0,0,1,13,0,0,6.3,148,6.3,148,16:50,63,37,24,10
9,2013-14,ANA,28,76,23,6,4,0,2,2,22,0,2,5.2,199,5.2,199,15:23,61,62,34,30
10,2014-15,TOT,29,79,27,23,9,0,0,1,24,0,1,9.3,173,9.3,173,16:39,124,69,44,25
11,2014-15,TOR,29,58,19,15,7,0,0,0,18,0,0,10.0,129,10.0,129,16:50,99,50,38,18
12,2014-15,PIT,29,21,8,8,2,0,0,1,6,0,1,7.4,44,7.4,44,16:07,25,19,6,7
13,2015-16,TOT,30,76,38,4,6,0,0,0,13,0,0,5.9,166,5.9,166,13:43,53,46,35,9
14,2015-16,TOR,30,56,16,-3,4,0,0,0,10,0,0,4.7,132,4.7,132,14:16,41,35,30,7
15,2015-16,WSH,30,20,22,7,2,0,0,0,3,0,0,12.5,34,12.5,34,12:11,12,11,5,2
16,2016-17,WSH,31,14,6,4,3,0,0,1,1,0,0,27.3,17,27.3,17,11:00,5,6,5,7
