,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DET,20,19,18,51.4,-10.,18,17,51.4,-11.,7.7,90.9,98.6,60.0,40.0
2,2008-09,DET,21,22,9,71.0,14.6,16,8,66.7,16.7,0.0,100.,100.,66.7,33.3
3,2009-10,DET,22,409,376,52.1,-2.2,303,280,52.0,-1.3,4.3,90.0,94.3,66.3,33.7
4,2010-11,DET,23,765,628,54.9,-0.4,599,478,55.6,0.7,8.3,93.6,101.,58.8,41.2
5,2011-12,DET,24,794,698,53.2,-3.2,589,524,52.9,-3.7,7.4,93.1,100.,59.3,40.7
6,2012-13,DET,25,614,479,56.2,3.8,451,353,56.1,3.6,7.3,93.7,101.,52.2,47.8
7,2013-14,DET,26,841,821,50.6,-3.1,645,629,50.6,-2.3,8.5,92.4,100.,52.5,47.5
8,2014-15,DET,27,909,704,56.4,4.0,668,540,55.3,4.1,9.7,90.5,100.,63.6,36.4
9,2015-16,DET,28,986,995,49.8,-2.9,735,782,48.5,-2.7,7.8,90.5,98.3,58.7,41.3
10,2016-17,DET,29,233,271,46.2,0.3,180,209,46.3,1.0,4.5,93.6,98.1,37.8,62.2
