,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,EDM,20,678,906,42.8,-6.1,522,707,42.5,-6.9,11.8,91.3,103.,51.5,48.5
2,2008-09,EDM,21,851,932,47.7,-1.1,641,710,47.4,-1.4,8.6,92.3,100.,53.5,46.5
3,2009-10,EDM,22,915,1080,45.9,0.1,680,819,45.4,-1.4,8.7,92.2,100.,48.2,51.8
4,2010-11,EDM,23,947,1061,47.2,1.0,689,793,46.5,2.0,7.2,91.0,98.2,48.1,51.9
5,2011-12,ANA,24,863,949,47.6,-2.2,648,709,47.8,-2.0,8.9,90.7,99.5,48.5,51.5
6,2012-13,ANA,25,589,545,51.9,4.2,414,393,51.3,1.6,9.5,94.1,103.,44.9,55.1
7,2013-14,ANA,26,981,1068,47.9,-4.9,739,794,48.2,-5.0,9.2,92.5,101.,48.5,51.5
8,2014-15,ANA,27,953,911,51.1,0.2,720,684,51.3,-0.1,8.2,91.6,99.8,49.9,50.1
9,2015-16,ANA,28,968,889,52.1,-0.3,742,658,53.0,-0.2,7.5,91.4,98.9,40.4,59.6
10,2016-17,ANA,29,282,265,51.6,3.2,212,199,51.6,2.9,6.4,96.5,102.,44.6,55.4
