,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PHX,20,812,768,51.4,-0.2,655,591,52.6,1.1,6.7,90.6,97.2,47.5,52.5
2,2008-09,PHX,21,737,843,46.6,0.7,555,637,46.6,0.9,8.4,91.0,99.4,36.6,63.4
3,2009-10,PHX,22,1050,957,52.3,0.3,792,734,51.9,0.5,6.8,93.1,99.9,46.6,53.4
4,2010-11,PHX,23,876,786,52.7,2.1,675,625,51.9,2.1,7.2,93.6,100.,46.7,53.3
5,2011-12,PHX,24,929,796,53.9,4.3,683,632,51.9,3.0,8.4,93.7,102.,50.2,49.8
6,2012-13,PHX,25,597,564,51.4,1.6,442,424,51.0,0.2,7.3,93.3,100.,62.0,38.0
7,2013-14,PHX,26,912,894,50.5,-2.3,708,672,51.3,-0.3,7.0,91.2,98.2,50.5,49.5
8,2014-15,ARI,27,509,460,52.5,4.2,372,353,51.3,3.3,9.8,89.2,99.0,51.8,48.2
9,2015-16,ARI,28,803,808,49.8,3.7,590,619,48.8,3.2,8.6,91.1,99.7,53.3,46.7
10,2016-17,ARI,29,217,241,47.4,2.8,162,193,45.6,2.4,8.4,87.6,96.0,40.0,60.0
