,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,VAN,22,386,409,48.6,-2.0,293,331,47.0,-4.4,9.4,93.5,102.,58.1,41.9
2,2008-09,VAN,23,655,663,49.7,1.3,502,519,49.2,0.5,6.8,94.5,101.,52.1,47.9
3,2009-10,VAN,24,1164,895,56.5,8.3,901,720,55.6,7.5,7.8,90.6,98.4,49.8,50.2
4,2010-11,VAN,25,1072,777,58.0,6.0,781,578,57.5,5.6,7.4,91.9,99.4,55.6,44.4
5,2011-12,VAN,26,747,708,51.3,-1.3,532,546,49.4,-1.9,7.5,93.6,101.,60.5,39.5
6,2012-13,VAN,27,517,526,49.6,-4.9,381,418,47.7,-5.9,10.4,92.2,102.,57.6,42.4
7,2013-14,TOR,28,1037,1275,44.9,1.3,766,974,44.0,1.1,8.1,92.6,100.,44.0,56.0
8,2014-15,CGY,29,614,796,43.5,-1.4,419,517,44.8,-1.4,8.9,90.1,98.9,51.9,48.1
9,2015-16,CGY,30,289,327,46.9,-1.9,208,230,47.5,-2.7,6.3,93.2,99.5,51.7,48.3
10,2016-17,ANA,31,28,35,44.4,-5.8,24,26,48.0,-0.4,0.0,90.0,90.0,27.3,72.7
