,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,EDM,20,82,20,1,15,1,2,5,20,6,1,18.4,156,18.4,156,13:40,25,31,35,49
2,2008-09,EDM,21,82,22,-6,14,4,0,4,15,5,0,15.5,207,15.5,207,14:24,57,39,28,42
3,2009-10,EDM,22,82,31,-5,9,1,0,1,16,2,0,7.2,239,7.2,239,14:11,76,28,32,52
4,2010-11,EDM,23,82,64,-12,10,0,1,3,17,5,2,8.5,234,8.5,234,17:15,89,46,32,46
5,2011-12,ANA,24,82,15,-4,11,2,0,2,12,1,0,11.3,207,11.3,207,14:42,88,41,32,32
6,2012-13,ANA,25,48,6,14,11,0,2,1,10,0,0,16.5,140,16.5,140,15:22,40,24,13,15
7,2013-14,ANA,26,82,26,13,19,0,3,5,18,0,2,13.9,270,13.9,270,15:24,94,36,22,31
8,2014-15,ANA,27,82,14,5,12,0,3,2,14,0,0,11.2,245,11.2,245,14:36,139,30,30,33
9,2015-16,ANA,28,82,28,2,7,0,2,3,22,0,1,6.9,231,6.9,231,14:26,124,27,26,34
10,2016-17,ANA,29,23,10,7,3,0,2<,0,5,0,0,8.6,79,8.6,79,14:00,23,12,7,6
