,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,PIT,18,81,110,-1,23,16,0,5,30,31,2,14.0,,14.0,,20:08,,,,
2,2006-07,PIT,19,79,60,10,23,13,0,4,36,48,0,14.4,,14.4,,20:46,,,,
3,2007-08,PIT,20,53,39,18,18,6,0,4,26,21,1,13.9,280,13.9,280,20:51,50,40,35,37
4,2008-09,PIT,21,77,76,3,26,7,0,3,36,33,1,13.9,388,13.9,388,21:57,80,42,56,80
5,2009-10,PIT,22,81,71,15,36,13,2,6,36,21,1,17.1,497,17.1,497,21:57,62,42,43,77
6,2010-11,PIT,23,41,31,20,21,10,1,3,25,9,0,19.9,278,19.9,278,21:55,31,23,15,29
7,2011-12,PIT,24,22,14,15,6,2,0,3,20,9,0,10.7,126,10.7,126,18:28,11,7,10,15
8,2012-13,PIT,25,36,16,26,12,3,0,1,27,14,0,12.1,203,12.1,203,21:06,21,18,15,28
9,2013-14,PIT,26,80,46,18,25,11,0,5,41,27,0,13.9,421,13.9,421,21:58,47,28,41,56
10,2014-15,PIT,27,77,47,5,18,10,0,3,35,21,0,11.8,380,11.8,380,19:58,66,29,37,53
11,2015-16,PIT,28,80,42,19,26,10,0,9,35,14,0,14.5,446,14.5,446,20:28,90,35,40,47
12,2016-17,PIT,29,17,8,1,10,5,0,2,6,1,0,25.0,91,25.0,91,19:16,21,5,7,20
