,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,PHI,20,32,73,2,5,0,1,1,6,0,0,24.0,40,24.0,40,9:51,29,7,14,9
2,2008-09,TOT,21,29,65,-2,3,0,0,1,3,0,0,11.5,40,11.5,40,8:26,41,7,9,7
3,2008-09,PHI,21,6,11,-4,0,0,0,0,0,0,0,0.0,4,0.0,4,5:57,3,1,2,4
4,2008-09,TBL,21,23,54,2,3,0,0,1,3,0,0,12.0,36,12.0,36,9:04,38,6,7,3
5,2009-10,TBL,22,79,208,14,15,7,0,1,20,4,0,19.0,184,19.0,184,14:43,139,20,31,35
6,2010-11,TBL,23,57,171,8,8,2,0,1,19,3,0,12.0,140,12.0,140,14:31,94,21,30,25
7,2011-12,TOT,24,75,137,-6,12,2,0,2,23,4,0,10.0,265,10.0,265,15:56,105,25,49,32
8,2011-12,TBL,24,55,121,-15,10,2,0,1,14,2,0,12.1,184,12.1,184,15:30,73,19,36,26
9,2011-12,COL,24,20,16,9,2,0,0,1,9,2,0,4.9,81,4.9,81,17:06,32,6,13,6
10,2012-13,COL,25,2,6,1,0,0,0,0,1,0,0,0.0,4,0.0,4,8:54,5,1,0,1
11,2013-14,TOT,26,62,106,1,1,3,0,1,17,3,0,4.5,159,4.5,159,14:06,70,18,24,21
12,2013-14,COL,26,11,36,4,0,1,0,1,5,1,0,3.8,48,3.8,48,16:43,13,6,8,7
13,2013-14,PHI,26,51,70,-3,1,2,0,0,12,2,0,4.8,111,4.8,111,13:32,57,12,16,14
14,2014-15,PIT,27,72,<str,2,11,3,0,2,12,2,0,13.5,158,13.5,158,12:26,108,34,16,24
15,2015-16,ARI,28,26,53,1,3,0,0,0,3,0,0,13.6,36,13.6,36,9:00,29,7,4,4
