,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,LAK,19,72,24,-12,11,7,2,1,19,22,0,10.4,,10.4,,20:32,,,,
2,2007-08,LAK,20,82,22,-15,18,12,2,3,21,22,2,15.9,346,15.9,346,20:41,47,40,52,85
3,2008-09,LAK,21,82,32,-17,19,7,1,3,23,16,0,11.5,433,11.5,433,20:27,85,56,49,73
4,2009-10,LAK,22,82,16,6,19,14,1,2,23,24,0,13.1,451,13.1,451,21:47,78,50,35,46
5,2010-11,LAK,23,75,20,25,18,6,1,6,36,12,0,10.7,410,10.7,410,21:35,92,45,62,40
6,2011-12,LAK,24,82,20,12,15,8,2,2,31,18,2,10.9,416,10.9,416,21:20,72,53,73,52
7,2012-13,LAK,25,47,16,14,10,0,0,1,16,16,0,10.2,178,10.2,178,20:29,70,25,27,35
8,2013-14,LAK,26,82,24,34,19,10,0,9,28,13,0,14.5,340,14.5,340,20:53,90,44,52,41
9,2014-15,LAK,27,79,10,-2,10,6,0,4,30,18,0,11.9,249,11.9,249,19:23,104,45,27,47
10,2015-16,LAK,28,81,16,34,19,5,1,8,34,13,2,14.1,311,14.1,311,20:52,78,65,43,45
11,2016-17,LAK,29,18,4,3,2,0,0,0,4,2,1,4.7,81,4.7,81,21:08,25,12,7,9
