,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,DAL,21,77,51,-11,15,9,0,2,12,1,0,14.0,282,14.0,282,15:52,194,27,66,26
2,2009-10,DAL,22,78,64,-5,24,2,1,4,19,8,1,13.5,346,13.5,346,18:12,174,32,58,26
3,2010-11,TOT,23,79,66,7,17,5,0,3,18,5,0,10.4,381,10.4,381,17:30,159,26,59,34
4,2010-11,DAL,23,59,60,8,16,5,0,3,15,3,0,13.1,270,13.1,270,17:42,120,22,51,26
5,2010-11,PIT,23,20,6,-1,1,0,0,0,3,2,0,1.9,111,1.9,111,16:54,39,4,8,8
6,2011-12,PIT,24,80,87,6,22,18,0,4,29,12,0,12.2,579,12.2,579,19:08,108,15,30,26
7,2012-13,PIT,25,40,26,5,12,9,0,6,8,7,0,15.4,249,15.4,249,17:28,56,17,11,7
8,2013-14,PIT,26,59,55,15,16,11,0,4,19,15,0,11.3,427,11.3,427,18:27,58,23,31,22
9,2014-15,NSH,27,67,57,12,20,3,0,6,13,1,0,10.4,429,10.4,429,18:05,71,30,37,31
10,2015-16,NSH,28,82,65,27,27,4,0,3,17,10,0,11.6,474,11.6,474,19:04,113,31,49,25
11,2016-17,NSH,29,20,15,1,8,2,0,1,3,2,0,13.7,117,13.7,117,19:18,25,9,13,11
