,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,VAN,22,49,2,1,8,1,0,0,7,5,0,11.3,130,11.3,130,12:31,23,8,12,16
2,2008-09,VAN,23,72,24,2,7,4,0,0,6,6,0,7.6,238,7.6,238,13:43,42,18,24,22
3,2009-10,VAN,24,82,48,0,17,8,0,4,18,10,0,11.5,347,11.5,347,17:20,64,19,44,16
4,2010-11,VAN,25,70,10,8,12,2,1,5,20,4,0,7.6,329,7.6,329,15:48,38,14,35,14
5,2011-12,VAN,26,55,18,4,8,1,1,2,10,0,0,8.0,204,8.0,204,15:35,32,13,20,12
6,2012-13,VAN,27,46,16,2,6,4,0,1,10,2,0,12.7,139,12.7,139,15:49,18,8,17,18
7,2013-14,TOR,28,82,22,-7,12,6,1,4,20,5,1,10.7,299,10.7,299,17:20,38,24,26,39
8,2014-15,CGY,29,57,8,-8,12,0,0,1,10,1,0,9.8,213,9.8,213,14:49,7,13,24,28
9,2015-16,CGY,30,29,8,-3,4,0,0,0,1,0,0,7.5,87,7.5,87,12:20,12,7,8,11
10,2016-17,ANA,31,4,0,-2,0,0,0,0,0,0,0,0.0,5,0.0,5,8:55,3,0,0,1
