,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,COL,21,82,42,4,17,11,0,6,29,20,1,15.1,,15.1,,18:10,,,,
2,2007-08,COL,22,66,24,22,21,3,0,4,28,18,1,17.4,221,17.4,221,21:05,16,31,54,33
3,2008-09,COL,23,45,22,-9,4,7,0,2,13,12,0,9.3,168,9.3,168,21:14,19,37,33,28
4,2009-10,COL,24,81,50,2,11,9,0,2,43,16,0,10.1,319,10.1,319,21:24,42,53,59,35
5,2010-11,COL,25,74,56,-7,17,4,1,3,20,15,0,12.2,279,12.2,279,19:44,74,31,52,22
6,2011-12,COL,26,79,34,-8,14,7,0,2,20,12,0,11.1,304,11.1,304,18:50,40,49,59,24
7,2012-13,COL,27,40,14,-7,7,2,0,1,7,8,0,10.3,139,10.3,139,19:21,21,29,23,15
8,2013-14,COL,28,71,22,9,21,4,0,4,23,11,1,16.7,240,16.7,240,18:24,54,46,35,20
9,2014-15,STL,29,74,40,5,9,7,0,7,22,8,0,11.2,232,11.2,232,17:38,22,30,28,9
10,2015-16,STL,30,64,26,3,8,2,0,2,27,12,0,9.7,179,9.7,179,19:09,32,40,20,7
11,2016-17,STL,31,23,18,0,4,2,0,2,3,4,0,16.2,61,16.2,61,20:29,16,12,11,4
