,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,FLA,19,29,50,36.7,-13.,22,41,34.9,-14.,6.3,91.4,97.7,52.9,47.1
2,2008-09,FLA,20,109,154,41.4,-8.0,79,119,39.9,-8.3,7.1,92.3,99.5,36.7,63.3
3,2009-10,FLA,21,451,590,43.3,-2.6,349,433,44.6,-2.1,6.3,93.4,99.7,48.8,51.2
4,2010-11,FLA,22,534,539,49.8,-0.9,410,410,50.0,-0.7,7.5,92.5,100.,54.9,45.1
5,2011-12,FLA,23,830,868,48.9,-1.8,607,658,48.0,-3.9,6.8,93.3,100.,49.1,50.9
6,2012-13,FLA,24,558,601,48.1,-2.6,421,456,48.0,-1.5,9.3,89.5,98.8,49.7,50.3
7,2013-14,TOT,25,712,766,48.2,-6.2,541,575,48.5,-6.2,8.0,91.8,99.8,43.6,56.4
8,2013-14,FLA,25,522,542,49.1,-3.1,398,414,49.0,-4.0,8.0,92.5,100.,42.8,57.2
9,2013-14,VAN,25,190,224,45.9,-14.,143,161,47.0,-13.,8.1,90.1,98.2,45.3,54.7
10,2014-15,VAN,26,782,859,47.7,-2.3,585,628,48.2,-2.7,8.3,91.8,100.,49.5,50.5
11,2015-16,TOT,27,830,880,48.5,-0.8,585,661,47.0,-2.0,8.0,89.9,97.8,52.5,47.5
12,2015-16,TOR,27,591,586,50.2,-0.1,413,457,47.5,-2.2,7.0,90.8,97.8,54.8,45.2
13,2015-16,COL,27,239,294,44.8,-2.0,172,204,45.7,-1.2,10.0,87.9,97.9,47.0,53.0
14,2016-17,WPG,28,77,70,52.4,2.7,59,56,51.3,3.8,12.2,90.9,103.,42.6,57.4
