,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CBJ,20,5,4,55.6,-7.9,3,3,50.0,-13.,0.0,100.,100.,0.0,100.
2,2009-10,CBJ,22,11,16,40.7,-7.6,8,15,34.8,-12.,0.0,100.,100.,66.7,33.3
3,2010-11,CBJ,23,59,69,46.1,-5.2,42,50,45.7,-6.5,6.9,82.9,89.8,61.0,39.0
4,2011-12,PHI,24,70,73,49.0,-6.3,53,51,51.0,-3.9,2.6,88.2,90.9,69.6,30.4
5,2012-13,TOT,25,133,176,43.0,-10.,95,127,42.8,-10.,7.2,92.1,99.4,33.3,66.7
6,2012-13,PHI,25,28,38,42.4,-7.7,21,24,46.7,-4.9,15.4,94.1,109.,42.9,57.1
7,2012-13,VAN,25,105,138,43.2,-11.,74,103,41.8,-12.,5.4,91.7,97.0,30.9,69.1
8,2013-14,VAN,26,380,474,44.5,-10.,296,357,45.3,-8.8,5.6,90.8,96.3,42.6,57.4
9,2014-15,VAN,27,11,28,28.2,-18.,11,19,36.7,-11.,16.7,100.,116.,30.0,70.0
10,2015-16,PIT,28,10,22,31.3,-18.,7,15,31.8,-18.,20.0,100.,120.,68.8,31.3
11,2016-17,PIT,29,19,36,34.5,-14.,15,27,35.7,-14.,10.0,94.7,104.,37.0,63.0
