,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,MIN,20,2,0,0,0,0,0,0,0,0,0,</td,3,</td,3,7:05,4,1,1,0
2,2008-09,MIN,21,78,76,-5,10,1,0,1,7,0,0,8.1,254,8.1,254,13:00,356,39,22,16
3,2009-10,MIN,22,74,52,-8,10,1,2,1,8,0,0,9.6,246,9.6,246,14:17,318,29,14,16
4,2010-11,MIN,23,76,79,-5,15,4,0,3,13,1,1,9.9,333,9.9,333,15:51,336,32,24,25
5,2011-12,MIN,24,74,103,-4,8,3,4<,2,8,4,0,9.3,284,9.3,284,16:21,288,31,28,21
6,2012-13,MIN,25,42,27,-5,4,0,0,1,5,0,1,4.6,149,4.6,149,13:44,155,17,13,10
7,2013-14,NYI,26,73,40,-9,9,0,3,1,6,0,1,7.0,286,7.0,286,14:20,270,14,30,24
8,2014-15,NYI,27,76,60,1,5,0,2,4,7,1,1,5.6,219,5.6,219,12:44,343,31,25,24
9,2015-16,NYI,28,77,22,7,13,0,2,5,7,0,1,18.8,151,18.8,151,11:55,288,34,21,20
10,2016-17,NYI,29,21,10,0,2,0,0,1,5,0,0,5.4,64,5.4,64,15:36,78,10,11,10
