,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,OTT,20,45,20,0,6,0,0,0,3,0,0,13.6,67,13.6,67,9:10,51,11,14,12
2,2008-09,OTT,21,81,59,-10,10,7,0,2,8,7,0,11.7,228,11.7,228,13:41,97,18,33,25
3,2009-10,OTT,22,61,53,6,7,2,0,2,13,4,0,10.8,148,10.8,148,14:19,78,23,36,12
4,2010-11,OTT,23,82,43,-19,9,5,0,3,15,5,0,9.4,219,9.4,219,15:35,119,41,31,25
5,2011-12,OTT,24,82,124,2,14,1,0,3,29,3,0,9.8,245,9.8,245,14:39,196,30,35,26
6,2012-13,CBJ,25,45,28,6,5,1,0,2,11,2,0,8.7,112,8.7,112,16:31,99,33,17,8
7,2013-14,CBJ,26,70,96,5,15,3,0,5,18,3,0,16.2,189,16.2,189,16:04,210,42,43,22
8,2014-15,CBJ,27,79,50,16,20,11,0,3,27,15,0,17.0,273,17.0,273,18:50,193,52,51,23
9,2015-16,CBJ,28,72,53,-14,12,0,0,2,12,13,0,8.1,244,8.1,244,16:54,152,46,27,25
10,2016-17,CBJ,29,21,22,2,4,4,0,0,5,6,0,17.4,72,17.4,72,18:25,32,12,9,11
