,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,PHI,20,2,0,-2,0,0,0,0,0,0,0,0.0,3,0.0,3,9:35,0,1,0,0
2,2008-09,PHI,21,42,14,10,7,2,0,0,14,4,0,13.4,124,13.4,124,15:10,41,18,33,22
3,2009-10,PHI,22,82,23,-9,8,8,0,2,18,13,0,11.0,260,11.0,260,16:37,76,48,49,39
4,2010-11,PHI,23,82,47,20,14,8,3,5,36,11,4,14.8,303,14.8,303,19:24,117,44,48,44
5,2011-12,PHI,24,77,29,6,22,6,0,5,31,32,2,11.6,456,11.6,456,21:33,70,44,50,44
6,2012-13,PHI,25,48,22,-7,6,6,1,2,20,15,0,9.5,266,9.5,266,21:10,57,29,17,30
7,2013-14,PHI,26,82,46,7,21,7,0,7,28,30,0,12.6,436,12.6,436,20:26,90,46,43,34
8,2014-15,PHI,27,81,36,-3,11,14,0,4,25,23,0,9.0,487,9.0,487,20:34,110,28,40,36
9,2015-16,PHI,28,78,53,-8,15,6,1,5,23,21,1,9.1,418,9.1,418,20:33,83,36,41,45
10,2016-17,PHI,29,24,10,-8,1,4,0,0,7,8,0,8.3,107,8.3,107,19:11,18,7,8,7
