,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,STL,19,69,28,-9,1,4,0,3,14,14,0,4.8,224,4.8,224,18:11,87,64,27,37
2,2009-10,STL,21,79,79,1,4,6,0,2,20,9,0,5.4,380,5.4,380,21:27,70,77,44,47
3,2010-11,TOT,22,77,56,-13,4,3,1,2,13,7,1,5.0,315,5.0,315,22:49,99,133,28,43
4,2010-11,STL,22,55,37,-8,3,1,1,2,10,4,0,4.6,209,4.6,209,22:08,67,92,18,23
5,2010-11,COL,22,22,19,-5,1,2,0,0,3,3,1,5.7,106,5.7,106,24:33,32,41,10,20
6,2011-12,COL,23,73,26,-7,3,1,0,1,11,11,0,2.6,308,2.6,308,20:50,123,94,35,44
7,2012-13,COL,24,31,18,-3,0,0,0,0,4,0,0,0.0,119,0.0,119,20:45,44,58,19,26
8,2013-14,COL,25,80,61,5,7,2,0,2,18,12,0,5.7,311,5.7,311,23:00,136,130,49,42
9,2014-15,COL,26,47,33,2,9,3,0,2,7,3,1,10.4,226,10.4,226,24:25,93,107,26,38
10,2015-16,COL,27,73,50,-19,6,3,2,0,12,3,1,6.3,307,6.3,307,23:27,126,197,30,45
11,2016-17,COL,28,21,4,-1,1,0,0,0,5,4,0,2.3,86,2.3,86,22:32,43,59,11,11
