,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,BOS,19,70,12,-12,10,1,0,0,14,4,0,6.5,,6.5,,14:04,,,,
2,2007-08,BOS,20,82,28,-6,14,5,0,3,16,2,0,8.9,372,8.9,372,15:14,11,17,37,30
3,2008-09,BOS,21,70,16,23,28,8,0,6,17,7,0,15.5,400,15.5,400,16:34,6,16,42,33
4,2009-10,TOR,22,70,21,-8,22,8,0,5,17,8,0,10.1,526,10.1,526,19:33,13,13,30,46
5,2010-11,TOR,23,82,24,-20,19,12,1,6,21,11,0,9.8,561,9.8,561,19:39,11,22,45,45
6,2011-12,TOR,24,82,20,-10,27,10,0,6,32,13,0,12.5,518,12.5,518,20:03,12,21,39,82
7,2012-13,TOR,25,48,18,-3,14,6,0,4,17,15,0,12.4,313,12.4,313,19:49,16,23,25,45
8,2013-14,TOR,26,82,27,-4,29,8,0,6,31,12,0,12.1,532,12.1,532,20:40,25,30,37,88
9,2014-15,TOR,27,82,30,-34,17,8,0,4,19,17,0,8.9,496,8.9,496,18:48,18,13,34,64
10,2015-16,PIT,28,82,18,9,22,4,0,5,20,13,0,9.5,479,9.5,479,18:23,9,13,26,55
11,2016-17,PIT,29,23,10,-4,3,3,0,1,9,6,0,10.2,121,10.2,121,18:16,6,5,3,12
