,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,ATL,20,48,18,-2,4,2,0,1,10,0,0,7.9,119,7.9,119,15:37,15,8,26,11
2,2008-09,ATL,21,79,24,-5,19,12,0,4,12,8,0,18.0,268,18.0,268,16:55,40,17,35,23
3,2009-10,ATL,22,79,20,-6,10,3,0,1,18,3,0,7.9,273,7.9,273,15:45,45,18,51,15
4,2010-11,ATL,23,76,33,11,14,2,2,1,21,8,1,11.4,283,11.4,283,18:27,40,30,79,21
5,2011-12,WPG,24,74,26,-11,18,6,0,6,14,7,1,14.8,291,14.8,291,20:13,44,13,44,21
6,2012-13,WPG,25,48,4,8,5,2,0,2,21,3,1,8.3,142,8.3,142,19:48,32,19,29,11
7,2013-14,WPG,26,82,58,8,13,8,2,1,32,7,2,13.5,291,13.5,291,20:00,84,38,38,31
8,2014-15,WPG,27,70,24,8,14,9,1,3,19,9,0,16.2,270,16.2,270,19:55,55,32,25,22
9,2015-16,WPG,28,57,12,-13,13,2,2,2,15,10,0,13.4,216,13.4,216,19:36,48,22,20,26
10,2016-17,WPG,29,2,0,1,0,0,0,0,1,0,0,0.0,5,0.0,5,11:29,0,0,0,1
