,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,NYI,22,3,2,2,0,0,0,0,0,0,0,0.0,4,0.0,4,10:10,0,3,2,0
2,2009-10,NYI,23,46,20,4,1,0,0,0,6,0,0,2.3,100,2.3,100,20:05,36,94,40,22
3,2010-11,NYI,24,60,37,9,3,1,0,1,12,11,0,5.6,189,5.6,189,23:25,38,157,48,34
4,2011-12,NYI,25,75,26,-5,4,1,0,0,13,1,0,7.0,202,7.0,202,23:22,48,185,50,56
5,2012-13,NYI,26,48,20,-2,2,1,0,1,7,2,0,6.7,112,6.7,112,23:31,26,123,24,36
6,2013-14,TOT,27,82,50,-22,2,2,0,2,14,9,1,4.3,263,4.3,263,24:38,69,242,23,60
7,2013-14,NYI,27,63,34,-19,2,2,0,2,10,9,1,5.6,209,5.6,209,25:25,48,198,22,53
8,2013-14,PHI,27,19,16,-3,0,0,0,0,4,0,0,0.0,54,0.0,54,21:00,21,44,1,7
9,2014-15,PHI,28,58,41,-5,1,1,0,0,6,4,0,3.2,152,3.2,152,20:01,35,86,12,25
10,2015-16,PHI,29,28,6,10,1,0,0,0,5,2,0,5.0,59,5.0,59,20:07,14,72,4,20
11,2016-17,PHI,30,16,4,-3,1,0,0,0,5,0,0,8.3,34,8.3,34,19:02,10,32,2,15
