,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,SJS,20,35,2,-6,3,1,0,1,2,0,0,14.8,45,14.8,45,8:55,50,7,5,7
2,2009-10,SJS,21,59,38,-3,10,0,0,2,3,0,0,13.2,130,13.2,130,9:00,89,18,18,10
3,2010-11,SJS,22,49,33,-6,1,0,0,0,5,0,0,1.6,121,1.6,121,11:35,101,17,18,6
4,2011-12,TOT,23,78,37,-3,14,6,0,2,15,2,0,12.6,257,12.6,257,13:27,159,37,29,25
5,2011-12,SJS,23,61,26,1,9,3,0,0,11,1,0,11.5,173,11.5,173,12:33,137,30,21,18
6,2011-12,COL,23,17,11,-4,5,3,0,2,4,1,0,14.5,84,14.5,84,16:40,22,7,8,7
7,2012-13,COL,24,47,26,-13,8,3,0,2,7,4,0,8.6,213,8.6,213,17:17,82,16,20,14
8,2013-14,COL,25,79,30,-3,14,5,0,3,15,4,0,11.4,311,11.4,311,15:47,140,35,36,17
9,2014-15,COL,26,19,6,-9,3,1,0,0,2,0,0,11.1,51,11.1,51,14:46,29,7,9,7
10,2015-16,TOT,27,84,33,-7,13,9,0,5,14,3,0,14.1,244,14.1,244,14:18,164,27,18,19
11,2015-16,BUF,27,63,10,-10,8,6,0,3,10,3,0,12.8,172,12.8,172,14:10,113,19,15,12
12,2015-16,ANA,27,21,23,3,5,3,0,2,4,0,0,17.0,72,17.0,72,14:41,51,8,3,7
13,2016-17,ARI,28,16,10,-1,4,0,0,2,3,0,0,11.8,44,11.8,44,14:28,29,9,0,7
