,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,CHI,19,82,52,-5,14,7,0,4,30,21,0,11.0,310,11.0,310,18:22,16,7,49,22
2,2008-09,CHI,20,80,42,-2,12,13,0,4,23,22,0,9.8,385,9.8,385,18:40,19,9,23,32
3,2009-10,CHI,21,82,20,16,21,9,0,6,37,20,1,11.5,474,11.5,474,19:12,17,17,51,41
4,2010-11,CHI,22,73,28,7,22,5,0,2,27,19,0,12.5,378,12.5,378,19:17,17,17,55,40
5,2011-12,CHI,23,82,40,7,19,4,0,5,35,8,0,9.1,447,9.1,447,20:12,19,27,77,32
6,2012-13,CHI,24,47,8,11,15,8,0,3,23,9,0,16.7,237,16.7,237,20:03,11,9,36,25
7,2013-14,CHI,25,69,22,7,19,10,0,6,25,15,0,12.8,402,12.8,402,19:37,16,15,44,23
8,2014-15,CHI,26,61,10,10,21,6,0,5,21,16,0,14.5,323,14.5,323,19:51,22,14,36,30
9,2015-16,CHI,27,82,30,17,29,17,0,9,40,20,0,16.0,461,16.0,461,20:25,37,21,34,37
10,2016-17,CHI,28,24,14,2,6,2,0,2,11,4,0,10.4,135,10.4,135,22:15,10,2,10,8
