,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,ATL,18,658,705,48.3,-0.1,506,545,48.1,-1.6,11.9,90.7,102.,44.2,55.8
2,2009-10,ATL,19,1294,1392,48.2,-1.8,963,1076,47.2,-3.0,7.4,91.0,98.5,44.5,55.5
3,2010-11,ATL,20,1136,1273,47.2,-6.7,871,937,48.2,-7.6,5.8,91.5,97.2,47.9,52.1
4,2011-12,WPG,21,1130,1140,49.8,-1.9,856,823,51.0,-1.1,7.7,90.9,98.6,49.0,51.0
5,2012-13,WPG,22,617,650,48.7,-3.5,428,468,47.8,-4.3,10.0,89.7,99.7,45.4,54.6
6,2013-14,WPG,23,997,1024,49.3,-2.9,757,771,49.5,-3.2,8.4,92.3,100.,49.7,50.3
7,2014-15,TOT,24,1026,1145,47.3,-1.1,765,864,47.0,-1.5,7.6,92.0,99.6,47.6,52.4
8,2014-15,WPG,24,685,655,51.1,-1.7,513,501,50.6,-1.3,7.5,92.7,100.,51.1,48.9
9,2014-15,BUF,24,341,490,41.0,2.4,252,363,41.0,-0.4,7.7,91.0,98.7,42.0,58.0
10,2015-16,BUF,25,1055,1210,46.6,-0.7,817,924,46.9,-0.3,8.3,90.7,99.0,50.8,49.2
11,2016-17,BUF,26,114,131,46.5,1.3,85,102,45.5,-0.2,4.5,92.9,97.4,47.3,52.7
