,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2009-10,NYR,19,1178,1116,51.4,1.6,878,845,51.0,1.3,8.0,89.5,97.5,59.5,40.5
2,2010-11,NYR,20,698,694,50.1,1.7,519,488,51.5,2.0,8.3,89.8,98.1,53.0,47.0
3,2011-12,NYR,21,1084,1183,47.8,-1.4,813,848,48.9,-2.6,10.0,92.7,102.,52.2,47.8
4,2012-13,NYR,22,833,870,48.9,-4.7,613,608,50.2,-5.3,8.0,94.1,102.,58.7,41.3
5,2013-14,TOT,23,998,968,50.8,-3.7,739,746,49.8,-4.4,6.7,91.9,98.6,57.3,42.7
6,2013-14,NYR,23,657,619,51.5,-2.8,485,484,50.1,-3.0,6.1,92.5,98.6,60.2,39.8
7,2013-14,NSH,23,341,349,49.4,-5.4,254,262,49.2,-7.4,8.0,90.6,98.6,52.5,47.5
8,2014-15,PHI,24,1120,1175,48.8,-0.6,809,841,49.0,0.4,8.0,91.6,99.6,50.8,49.2
9,2015-16,PHI,25,1008,968,51.0,2.3,732,708,50.8,3.1,5.4,92.8,98.2,46.7,53.3
10,2016-17,PHI,26,157,157,50.0,1.0,117,110,51.5,1.8,8.5,91.1,99.7,63.0,37.0
