,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,TOR,19,1219,1319,48.0,-4.7,912,986,48.1,-5.5,8.3,90.5,98.8,51.5,48.5
2,2009-10,TOR,20,1195,1141,51.2,-4.0,874,822,51.5,-3.7,9.1,90.7,99.8,48.8,51.2
3,2010-11,TOR,21,1459,1577,48.1,-1.6,1046,1141,47.8,-0.9,8.2,91.3,99.5,49.4,50.6
4,2011-12,TOR,22,1079,1220,46.9,-4.0,761,931,45.0,-5.6,10.0,90.7,100.,50.7,49.3
5,2012-13,PHI,23,809,815,49.8,3.3,603,561,51.8,6.1,9.4,90.2,99.6,45.5,54.5
6,2013-14,PHI,24,1055,1155,47.7,-4.8,741,845,46.7,-5.9,9.2,92.0,101.,54.2,45.8
7,2014-15,PHI,25,872,861,50.3,0.3,616,628,49.5,0.3,7.9,91.6,99.4,53.0,47.0
8,2015-16,TOT,26,1031,1023,50.2,-5.5,731,767,48.8,-6.5,9.0,91.4,100.,50.4,49.6
9,2015-16,PHI,26,375,445,45.7,-6.8,242,327,42.5,-8.7,8.4,91.6,99.9,44.9,55.1
10,2015-16,LAK,26,656,578,53.2,-4.7,489,440,52.6,-5.4,9.3,91.3,100.,53.9,46.1
11,2016-17,ARI,27,223,254,46.8,2.9,158,194,44.9,2.8,8.8,92.3,101.,34.9,65.1
