,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2010-11,CHI,22,58,70,45.3,-13.,50,47,51.5,-7.5,7.5,94.6,102.,62.9,37.1
2,2011-12,CHI,23,112,108,50.9,-4.2,83,79,51.2,-3.0,7.8,83.3,91.1,46.2,53.8
3,2012-13,CHI,24,12,10,54.5,</td,10,9,52.6,</td,14.3,100.,114.,57.1,42.9
4,2013-14,CHI,25,700,666,51.2,-8.2,514,442,53.8,-5.1,9.3,90.0,99.3,26.6,73.4
5,2014-15,TOT,26,763,773,49.7,-5.6,541,531,50.5,-4.1,5.6,94.8,100.,30.6,69.4
6,2014-15,CHI,26,594,606,49.5,-6.0,419,426,49.6,-4.9,5.5,94.2,99.6,25.4,74.6
7,2014-15,SJS,26,169,167,50.3,-3.9,122,105,53.7,-0.9,5.9,97.3,103.,53.0,47.0
8,2015-16,TOT,27,200,234,46.1,-7.1,145,177,45.0,-7.2,10.4,93.4,103.,32.8,67.2
9,2015-16,SJS,27,25,45,35.7,-11.,17,37,31.5,-16.,0.0,95.5,95.5,57.1,42.9
10,2015-16,TOR,27,175,189,48.1,-7.4,128,140,47.8,-6.2,11.9,93.0,104.,30.0,70.0
11,2016-17,TOT,28,142,203,41.2,-9.9,103,154,40.1,-11.,7.1,93.9,101.,30.4,69.6
12,2016-17,COL,28,12,35,25.5,-21.,9,27,25.0,-23.,14.3,83.3,97.6,42.9,57.1
13,2016-17,TOR,28,130,168,43.6,-8.2,94,127,42.5,-9.3,6.3,95.9,102.,27.9,72.1
