,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2010-11,CHI,22,6,0,1,1,0,0,0,0,0,0,16.7,7,16.7,7,13:47,7,5,3,0
2,2011-12,CHI,23,13,0,-5,2,0,0,0,0,0,0,11.1,24,11.1,24,9:49,6,5,3,1
3,2012-13,CHI,24,1,0,1,1,0,0,0,0,0,0,100.,3,100.,3,18:21,1,0,0,0
4,2013-14,CHI,25,75,2,3,13,1,0,2,11,1,0,15.6,157,15.6,157,12:44,40,58,22,12
5,2014-15,TOT,26,80,2,2,7,0,0,1,7,0,0,7.6,161,7.6,161,13:03,72,75,22,16
6,2014-15,CHI,26,61,2,-1,5,0,0,0,4,0,0,6.5,134,6.5,134,13:35,49,57,17,10
7,2014-15,SJS,26,19,0,3,2,0,0,1,3,0,0,13.3,27,13.3,27,11:20,23,18,5,6
8,2015-16,TOT,27,22,0,2,2,0,0,1,4,0,0,11.8,34,11.8,34,12:06,18,16,8,3
9,2015-16,SJS,27,6,0,-1,0,0,0,0,0,0,0,0.0,3,0.0,3,5:59,5,1,1,2
10,2015-16,TOR,27,16,0,3,2,0,0,1,4,0,0,12.5,31,12.5,31,14:23,13,15,7,1
11,2016-17,TOT,28,21,0,-2,1,0,0,0,1,0,0,6.7,26,6.7,26,11:47,12,18,6,4
12,2016-17,COL,28,4,0,-2,0,0,0,0,0,0,0,0.0,2,0.0,2,10:46,1,0,0,1
13,2016-17,TOR,28,17,0,0,1,0,0,0,1,0,0,7.1,24,7.1,24,12:01,11,18,6,3
